#{"t_start": 1774027501.1443594, "env_id": "None"}
r,l,t
-21.0,184,4.857901
-21.0,189,7.427969
-21.0,189,9.969601
-20.0,218,12.939016
-21.0,186,15.518759
-21.0,183,18.108825
-21.0,189,20.766865
-21.0,189,23.757768
-21.0,184,26.531803
-21.0,187,29.106041
-21.0,182,31.607616
-21.0,186,34.381479
-21.0,192,37.179775
-21.0,187,39.753665
-21.0,187,42.331684
-21.0,206,45.248894
-20.0,229,48.446553
-20.0,226,51.565769
-20.0,204,54.495862
-21.0,190,57.160656
-21.0,190,59.883855
-20.0,237,63.116526
-21.0,191,65.818482
-21.0,188,68.775145
-21.0,186,71.450229
-21.0,202,74.497048
-20.0,209,78.050492
-21.0,221,81.48489
-21.0,186,84.737035
-21.0,204,87.775166
-21.0,192,90.525246
-21.0,198,93.439846
-21.0,183,96.188804
-21.0,195,99.001512
-21.0,184,101.613662
-21.0,188,104.524358
-21.0,196,107.621818
-21.0,182,110.460718
-21.0,184,113.202815
-21.0,187,115.929256
-20.0,209,119.051668
-21.0,186,121.742064
-20.0,217,124.935391
-21.0,187,127.689495
-21.0,200,130.649216
-20.0,225,134.174271
-21.0,183,137.053868
-21.0,183,139.645897
-21.0,186,142.488637
-21.0,193,145.283663
-21.0,197,148.184912
-21.0,182,150.885747
-21.0,192,153.663108
-20.0,207,156.671543
-21.0,196,159.555999
-21.0,194,162.308372
-21.0,194,165.197057
-21.0,189,168.027944
-21.0,186,170.742108
-21.0,189,173.523755
-21.0,185,176.654572
-21.0,218,180.071812
-21.0,205,183.087768
-21.0,190,185.837997
-21.0,202,188.828965
-21.0,202,191.705416
-21.0,183,194.431983
-20.0,214,197.665611
-21.0,193,200.49082
-21.0,204,203.74538
-21.0,190,206.667836
-21.0,201,209.594759
-21.0,186,212.46713
-21.0,203,215.924372
-21.0,191,218.686397
-21.0,202,221.752413
-21.0,215,224.910624
-21.0,189,227.64677
-21.0,197,230.496325
-21.0,183,233.143015
-20.0,206,236.180107
-20.0,211,239.103868
-21.0,198,241.838336
-21.0,182,244.356642
-21.0,209,247.186893
-21.0,196,250.126292
-21.0,185,252.763611
-21.0,188,255.466268
-21.0,186,258.088802
-21.0,192,260.808722
-21.0,190,263.602862
-21.0,199,266.465502
-21.0,188,269.090607
-20.0,242,272.451103
-21.0,201,275.383234
-21.0,204,278.295883
-20.0,223,281.679533
-21.0,185,284.248206
-21.0,198,287.058032
-21.0,214,289.990407
-21.0,186,292.640111
-21.0,189,295.381113
-21.0,186,298.197063
-21.0,204,301.20574
-21.0,192,304.001075
-21.0,203,306.9402
-20.0,207,309.915796
-21.0,194,312.792737
-21.0,186,316.090105
-21.0,202,319.057215
-21.0,184,321.777113
-21.0,198,324.913001
-19.0,228,328.225334
-21.0,198,331.154444
-21.0,204,334.14654
-21.0,188,337.134049
-21.0,187,339.886
-21.0,212,342.940544
-20.0,214,346.071632
-20.0,215,349.132282
-21.0,196,352.20405
-21.0,199,355.443206
-20.0,206,358.483242
-21.0,186,361.224931
-21.0,190,363.980811
-21.0,187,366.691331
-21.0,199,369.606772
-21.0,184,372.316526
-21.0,183,375.14938
-21.0,209,378.480832
-21.0,185,381.275018
-21.0,186,384.109312
-21.0,185,387.137565
-21.0,219,390.600435
-21.0,200,393.525961
-21.0,188,396.320058
-20.0,205,399.316999
-21.0,203,402.318364
-21.0,186,405.054326
-21.0,183,407.969177
-21.0,187,411.282645
-21.0,189,414.088918
-21.0,188,416.915137
-21.0,213,420.096395
-21.0,198,423.007226
-21.0,182,425.791362
-21.0,194,428.72905
-21.0,200,431.64384
-21.0,186,434.341209
-21.0,183,437.116336
-21.0,188,439.884479
-21.0,183,442.617937
-21.0,182,445.271585
-21.0,183,448.058891
-21.0,183,450.950272
-21.0,183,453.701082
-21.0,189,456.459877
-21.0,203,459.564396
-20.0,221,462.790694
-21.0,182,465.416226
-21.0,186,468.334696
-21.0,189,471.488081
-21.0,185,474.851133
-21.0,202,478.026345
-21.0,188,480.833747
-21.0,203,483.850727
-21.0,194,486.685893
-21.0,189,489.471915
-21.0,207,492.567534
-21.0,191,495.728373
-21.0,192,498.593188
-21.0,186,501.424506
-21.0,186,504.314929
-21.0,183,507.068941
-21.0,182,509.909308
-20.0,204,513.091098
-21.0,197,516.131118
-21.0,190,519.443587
-21.0,191,522.508736
-21.0,192,525.32125
-21.0,186,528.063988
-21.0,198,530.982154
-21.0,187,533.864208
-20.0,215,536.996498
-21.0,186,539.808099
-21.0,184,542.519658
-21.0,185,545.204217
-21.0,183,547.897701
-21.0,182,550.560517
-21.0,196,553.487699
-21.0,186,556.378182
-21.0,204,559.352015
-21.0,214,562.605694
-21.0,187,565.892103
-21.0,183,568.564737
-21.0,198,571.486923
-21.0,182,574.207126
-20.0,210,577.377539
-20.0,207,580.520895
-21.0,182,583.269837
-21.0,187,586.105925
-21.0,197,589.18916
-21.0,185,591.973157
-21.0,204,594.993707
-20.0,207,598.255766
-21.0,184,600.985079
-21.0,188,603.829527
-21.0,185,606.642636
-21.0,185,609.393452
-21.0,208,612.508714
-21.0,183,615.391636
-21.0,187,618.175922
-21.0,183,620.930824
-21.0,216,624.18643
-21.0,187,627.002216
-21.0,222,630.273499
-21.0,186,633.035562
-21.0,188,635.972539
-20.0,204,639.006485
-21.0,189,641.770542
-21.0,191,644.56287
-20.0,200,647.506552
-21.0,186,650.261957
-21.0,203,653.243999
-21.0,187,656.07855
-21.0,187,658.819443
-21.0,208,661.958282
-21.0,210,665.000149
-21.0,194,667.849605
-21.0,183,670.754364
-21.0,200,673.655405
-21.0,191,676.678699
-21.0,201,680.011991
-21.0,189,682.887652
-21.0,185,685.677188
-21.0,208,688.808486
-21.0,186,691.566973
-21.0,194,694.443851
-21.0,185,697.171014
-21.0,182,699.875033
-21.0,185,702.588185
-21.0,183,705.280525
-21.0,203,708.457412
-21.0,189,711.493278
-21.0,188,714.267259
-21.0,189,717.011547
-21.0,204,719.988568
-21.0,188,722.779294
-21.0,182,725.407295
-20.0,217,728.568907
-21.0,184,731.296257
-21.0,183,734.010441
-21.0,206,737.224686
-21.0,186,739.946214
-21.0,221,743.428436
-21.0,189,746.197433
-5.0,48,749.060519
-21.0,187,750.324695
