#{"t_start": 1774206577.255487, "env_id": "None"}
r,l,t
-21.0,214,0.928922
-21.0,204,1.693902
-20.0,216,2.39257
-21.0,197,2.968194
-21.0,231,3.714477
-21.0,198,4.276581
-21.0,204,4.849474
-21.0,211,5.490353
-20.0,226,6.201214
-20.0,216,6.909986
-21.0,209,7.510691
-20.0,206,8.137273
-20.0,242,8.853627
-21.0,194,9.417855
-20.0,234,10.178268
-19.0,243,10.902032
-21.0,221,11.508539
-21.0,210,12.087401
-21.0,207,12.786186
-21.0,228,13.700394
-21.0,247,14.590212
-18.0,270,15.413589
-21.0,214,16.058512
-20.0,241,16.793275
-21.0,221,17.512888
-19.0,231,18.337132
-21.0,204,19.14689
-21.0,205,19.970373
-21.0,215,20.594814
-21.0,200,21.222392
-21.0,199,21.783777
-20.0,227,22.841894
-21.0,193,23.619417
-21.0,240,24.39973
-21.0,216,24.977499
-21.0,193,25.485048
-21.0,229,26.218747
-20.0,233,26.923941
-21.0,198,27.467109
-20.0,213,28.109692
-21.0,245,28.816655
-21.0,228,29.525617
-21.0,198,30.124868
-21.0,187,30.729586
-19.0,247,31.517332
-3.0,25,32.284427
