#{"t_start": 1774199343.3682072, "env_id": "None"}
r,l,t
-19.0,232,7.33482
-21.0,226,8.792266
-21.0,216,10.20732
-19.0,225,11.447808
-21.0,206,12.619925
-21.0,198,13.58272
-20.0,213,14.514353
-20.0,208,15.524109
-21.0,218,16.815134
-21.0,237,18.069182
-21.0,197,18.947616
-20.0,226,20.226195
-21.0,226,21.329563
-21.0,187,22.255668
-21.0,257,23.400908
-21.0,205,24.342602
-21.0,190,25.215092
-21.0,226,26.288243
-21.0,185,27.205744
-21.0,185,28.162408
-21.0,186,29.096294
-20.0,221,30.066088
-20.0,218,31.061673
-21.0,240,32.145593
-21.0,250,33.617435
-20.0,228,34.54073
-21.0,209,35.413067
-21.0,257,36.522075
-21.0,208,37.510283
-21.0,208,38.561744
-21.0,224,39.744085
-21.0,209,40.78503
-20.0,244,42.069091
-21.0,195,43.040907
-21.0,204,43.992235
-21.0,204,44.956432
-20.0,248,46.258439
-21.0,202,47.303919
-20.0,222,48.385169
-21.0,202,49.294326
-21.0,272,50.668889
-21.0,186,51.542353
-21.0,206,52.551269
-21.0,230,53.584719
-19.0,242,54.785022
-21.0,216,55.759974
-20.0,242,61.907247
-21.0,188,69.69847
-21.0,216,77.832674
-21.0,204,84.080616
-20.0,239,93.373999
-21.0,182,99.311756
-21.0,213,107.439972
-21.0,208,115.91493
-21.0,208,125.8041
-20.0,220,133.202089
-21.0,205,141.891944
-21.0,197,150.203006
-20.0,220,158.138379
-20.0,202,165.627836
-21.0,200,173.072255
-21.0,202,180.253086
-20.0,242,188.44206
-20.0,247,196.647996
-21.0,209,203.743823
-21.0,213,210.629779
-20.0,242,219.820566
-21.0,182,227.826473
-21.0,189,236.046469
-21.0,197,243.205707
-21.0,192,250.56583
-21.0,216,257.917198
-19.0,244,266.666752
-21.0,188,273.363489
-21.0,184,280.064076
-21.0,184,286.71443
-20.0,232,295.340228
-21.0,249,304.500365
-21.0,189,311.709402
-21.0,183,319.746434
-21.0,194,328.246703
-21.0,185,334.71113
-19.0,255,344.135285
-20.0,202,352.007824
-20.0,221,360.696976
-21.0,204,368.327912
-21.0,200,375.69247
-21.0,232,383.907156
-21.0,201,391.643825
-21.0,185,398.246881
-21.0,241,406.994233
-21.0,206,414.155433
-21.0,188,421.299376
-20.0,207,428.066724
-21.0,186,434.442477
-20.0,216,441.987659
-21.0,217,449.989949
-20.0,253,460.366441
-21.0,202,467.595133
-21.0,187,475.235645
-20.0,226,486.183734
-21.0,243,496.912177
-21.0,186,503.844469
-21.0,196,512.515973
-21.0,201,522.471633
-20.0,217,529.875754
-20.0,209,537.862767
-21.0,219,549.601907
-21.0,193,556.588761
-20.0,206,564.126414
-21.0,199,570.916606
-21.0,183,577.283035
-21.0,182,583.678649
-21.0,198,591.852517
-21.0,211,599.777805
-20.0,237,608.356834
-21.0,225,617.203721
-21.0,205,625.030603
-21.0,198,632.467059
-21.0,235,641.431176
-21.0,198,649.338903
-20.0,254,658.722877
-20.0,216,666.938826
-21.0,193,674.47788
-21.0,213,683.186517
-21.0,242,692.56725
-21.0,184,699.114794
-21.0,199,706.05836
-21.0,183,712.75822
-21.0,199,720.459122
-21.0,185,726.735009
-21.0,200,735.281463
-21.0,185,743.99704
-21.0,198,755.501564
-21.0,186,763.747314
-21.0,218,776.891259
-21.0,200,787.259058
-21.0,203,799.412829
-21.0,222,812.709073
-21.0,190,822.153097
